L = 10         delta = 2
0.1    3.1639
0.101985    3.14625
0.10401    3.07298
0.106075    3.11329
0.108181    3.15088
0.110328    2.98601
0.112519    3.07456
0.114753    3.12754
0.117031    2.92052
0.119354    3.17245
0.121724    2.95049
0.12414    3.04817
0.126605    3.06299
0.129118    2.87862
0.131682    3.11488
0.134296    3.11226
0.136962    3.0716
0.139681    3.06681
0.142454    3.15346
0.145282    2.99336
0.148167    2.92181
0.151108    2.98932
0.154108    3.17422
0.157168    3.05638
0.160288    3.05786
0.16347    3.04341
0.166715    2.91699
0.170025    3.14979
0.173401    3.04005
0.176843    2.92547
0.180354    3.04577
0.183935    2.96517
0.187586    3.06635
0.19131    3.0686
0.195108    3.04839
0.198982    3.01655
0.202932    3.05522
0.206961    2.97431
0.21107    3.01388
0.21526    3.00313
0.219534    2.98118
0.223892    3.10126
0.228337    3.1085
0.23287    3.02682
0.237493    3.10093
0.242208    3.00924
0.247017    3.09896
0.251921    3.02007
0.256922    2.98415
0.262023    3.05268
0.267224    3.10449
0.27253    3.05832
0.27794    3.00413
0.283458    3.06259
0.289085    3.0595
0.294825    2.96052
0.300678    2.94598
0.306647    2.99559
0.312735    2.98551
0.318944    2.99351
0.325276    3.05192
0.331733    3.05174
0.338319    2.97837
0.345036    2.9839
0.351886    2.92657
0.358872    2.96815
0.365996    2.94013
0.373262    2.93207
0.380673    2.93067
0.38823    2.9111
0.395938    2.87935
0.403798    2.75506
0.411815    2.83434
0.41999    2.80898
0.428328    2.75248
0.436832    2.8252
0.445504    2.84446
0.454349    2.7902
0.463369    2.78793
0.472568    2.79108
0.48195    2.80214
0.491518    2.76804
0.501276    2.7191
0.511228    2.737
0.521377    2.74017
0.531728    2.68047
0.542284    2.6754
0.55305    2.71022
0.56403    2.67212
0.575228    2.67127
0.586647    2.6593
0.598294    2.61704
0.610172    2.62059
0.622286    2.57109
0.63464    2.59548
0.647239    2.53546
0.660089    2.5423
0.673193    2.51661
0.686558    2.4925
0.700188    2.46882
0.714089    2.40156
0.728266    2.45979
0.742724    2.43778
0.757469    2.4127
0.772507    2.42724
0.787844    2.39376
0.803485    2.3935
0.819436    2.36088
0.835704    2.32522
0.852296    2.29369
0.869216    2.25647
0.886472    2.2389
0.904072    2.21937
0.92202    2.17468
0.940325    2.17443
0.958993    2.10917
0.978032    2.06184
0.997448    1.99765
1.01725    1.98316
1.03745    1.89756
1.05804    1.86391
1.07905    1.85495
1.10047    1.82446
1.12232    1.7897
1.1446    1.73163
1.16732    1.72393
1.1905    1.67984
1.21413    1.64338
1.23824    1.63361
1.26282    1.61912
1.28789    1.60321
1.31346    1.57766
1.33953    1.53488
1.36613    1.54518
1.39325    1.51364
1.42091    1.50329
1.44912    1.46139
1.47789    1.47994
1.50723    1.46128
1.53715    1.43534
1.56767    1.42977
1.59879    1.4347
1.63053    1.40375
1.6629    1.40836
1.69591    1.35627
1.72958    1.32221
1.76392    1.27774
1.79894    1.23126
1.83465    1.21698
1.87107    1.17082
1.90822    1.13635
1.9461    1.09852
1.98474    1.09508
2.02414    1.06398
2.06433    1.04251
2.10531    1.02682
2.14711    1.01504
2.18973    0.981446
2.23321    0.969669
2.27754    0.948955
2.32276    0.919971
2.36887    0.912044
2.4159    0.899651
2.46386    0.870561
2.51278    0.85199
2.56266    0.828838
2.61354    0.812207
2.66543    0.786723
2.71834    0.769888
2.77231    0.731726
2.82735    0.699345
2.88348    0.661917
2.94072    0.635637
2.99911    0.619096
3.05865    0.60387
3.11937    0.578253
3.1813    0.571056
3.24446    0.572625
3.30887    0.573473
3.37456    0.58636
3.44155    0.618642
3.50988    0.626206
3.57956    0.628101
3.65062    0.631302
3.7231    0.626758
3.79701    0.622952
3.87239    0.608064
3.94927    0.593055
4.02768    0.570529
4.10764    0.524203
4.18919    0.506014
4.27235    0.491984
4.35717    0.494488
4.44367    0.497093
4.53189    0.485996
4.62186    0.458331
4.71362    0.44105
4.8072    0.405053
4.90264    0.368767
4.99997    0.310162
